Galatasaray,Fenerbahçe,Fri Nov  2 20:38:03 2018,927,Maçın sıfırdan bire bitme ihtimali %100.0.
Kasımpaşa,Antalyaspor,Fri Nov  2 21:16:05 2018,927,Maçın sıfırdan sıfıra bitme ihtimali %28.9.,Maçın sıfırdan ikiye bitme ihtimali %9.7.,Maçın birden sıfıra bitme ihtimali %3.5.,Maçın birden bire bitme ihtimali %51.9.,Maçın ikiden bire bitme ihtimali %6.0.
Kasımpaşa,Antalyaspor,Fri Nov  2 23:17:13 2018,927,Maçı ev sahibinin kazanma ihtimali %100.0.
Akhisarspor,BB Erzurumspor,Fri Nov  2 23:30:39 2018,927,Maçın sıfırdan sıfıra bitme ihtimali %100.0.
Akhisarspor,BB Erzurumspor,Fri Nov  2 23:34:35 2018,927,Maçı ev sahibinin kazanma ihtimali %100.0.
Medipol Başakşehir,Beşiktaş,Fri Nov  2 23:35:52 2018,927,Maçın sıfırdan sıfıra bitme ihtimali %100.0.
Medipol Başakşehir,Beşiktaş,Fri Nov  2 23:36:48 2018,927,Maçı ev sahibinin kazanma ihtimali %100.0.
